"프로젝트 이름","SYSO"
"날짜 범위","06/12/2026 오전 12:00 - 06/14/2026 오후 11:59"


"총 세션 수","48"

"날짜","시간","세션 기간","항목 URL","종료 URL","참조:","명확성 사용자 ID","브라우저","디바이스","OS","국가","페이지 수","세션 클릭","북마크","레코딩 링크"
"06/13/2026","오후 02:43","00:06","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAae0ON1lhyqwISG02fPPfWYvU4VBa_GD-6pSxHMVtvliFf1-k2A5pxDC4aVX2A_aem_bGpUhOHv-XP_IOYCUPjwtg","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAae0ON1lhyqwISG02fPPfWYvU4VBa_GD-6pSxHMVtvliFf1-k2A5pxDC4aVX2A_aem_bGpUhOHv-XP_IOYCUPjwtg","https://instagram.com/","pywboj","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/pywboj/19x7o1l/?ss=1781329404000&sd=6"
"06/13/2026","오전 10:19","00:31","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadkrcoLT-aAMakmUm_gy6Mc6VIro8hyrdBN7SUp7Qmdke7i2AvHckqX5POagw_aem_uE1Qjk8ocGoqUU9P8IHqIg","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadkrcoLT-aAMakmUm_gy6Mc6VIro8hyrdBN7SUp7Qmdke7i2AvHckqX5POagw_aem_uE1Qjk8ocGoqUU9P8IHqIg","https://instagram.com/","zaz6d7","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/zaz6d7/jal7ko/?ss=1781313572000&sd=31"
"06/13/2026","오전 10:05","00:34","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAae8xwA7E5d4RolhLHmOfRUAJT4PoZjAzgxGNnH_0LlSkjYCkK5FMOHBuDyjOw_aem_jMgBV9s6LWvzChNQrx1AoA","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAae8xwA7E5d4RolhLHmOfRUAJT4PoZjAzgxGNnH_0LlSkjYCkK5FMOHBuDyjOw_aem_jMgBV9s6LWvzChNQrx1AoA","https://instagram.com/","xsda9u","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/xsda9u/1umthlz/?ss=1781312704000&sd=34"
"06/13/2026","오전 09:59","00:01","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafFCBgjvA1A6g9E5UAr-tlVy791yVukjM8jqHPTdqJSNYp9tA3D595ewWgxEw_aem_eTkI7Pu2rRyUx3VBDxJ4Tw","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafFCBgjvA1A6g9E5UAr-tlVy791yVukjM8jqHPTdqJSNYp9tA3D595ewWgxEw_aem_eTkI7Pu2rRyUx3VBDxJ4Tw","https://instagram.com/","1lnr42","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/1lnr42/cvdoe0/?ss=1781312393000&sd=1"
"06/13/2026","오전 09:46","00:02","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaf3st2CVLPIF3wRWu0N1bVgz2B63WX71KzAJf3MhAviN8Cm45MyELw1ts_pVA_aem_I-edKTlr1XjcTWwHmgg7bw","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaf3st2CVLPIF3wRWu0N1bVgz2B63WX71KzAJf3MhAviN8Cm45MyELw1ts_pVA_aem_I-edKTlr1XjcTWwHmgg7bw","https://instagram.com/","waxf52","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/waxf52/1gai46i/?ss=1781311569000&sd=2"
"06/13/2026","오전 09:16","00:36","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafYVPezj3wgDPaDP0S4ZOGJlWb53EGs12G0jB9g3Ic1LZi4CUc7r1_0Vjh3-g_aem_LCeF6fX_GmUgb3OSo2Haug","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafYVPezj3wgDPaDP0S4ZOGJlWb53EGs12G0jB9g3Ic1LZi4CUc7r1_0Vjh3-g_aem_LCeF6fX_GmUgb3OSo2Haug","https://instagram.com/","dvxriv","InstagramApp","Mobile","Android","Korea","3","1","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/dvxriv/yt8qrb/?ss=1781309794000&sd=36"
"06/13/2026","오전 07:55","00:02","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs5x7G5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaec9cqVKVvNZ-D860ouwvODrBTdI2TuL5s5UxsjTJK8eCSgH-wPIjuDy3iWww_aem_QoIXDqR7Pfx4no_N_IPx0Q","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs5x7G5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaec9cqVKVvNZ-D860ouwvODrBTdI2TuL5s5UxsjTJK8eCSgH-wPIjuDy3iWww_aem_QoIXDqR7Pfx4no_N_IPx0Q","https://instagram.com/","uj1sfg","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/uj1sfg/78diag/?ss=1781304930000&sd=2"
"06/13/2026","오전 07:23","00:50","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafjR9rIAtUm170mMe1MuVSG0Q9aP04QX4BVm28I6WVgnethD1NVK1vqcWPTzw_aem_zZBn8EX8boIsxmVNN8sy_Q","https://sysosyso.vercel.app/a?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457289540654&utm_term=120248457289740654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs_oEa5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafjR9rIAtUm170mMe1MuVSG0Q9aP04QX4BVm28I6WVgnethD1NVK1vqcWPTzw_aem_zZBn8EX8boIsxmVNN8sy_Q","https://instagram.com/","99elzc","InstagramApp","Mobile","iOS","Korea","1","1","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/99elzc/cz81qy/?ss=1781303012000&sd=50"
"06/13/2026","오전 07:17","00:01","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs4wKH5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafVNN3hMth3GddCJliSyeAbUFP-cDD5sMoDAG3z0z2vYyxmN0Trwwj90_Wp_A_aem_V0ydzABY9Gs-LclxyO43aA","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs4wKH5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafVNN3hMth3GddCJliSyeAbUFP-cDD5sMoDAG3z0z2vYyxmN0Trwwj90_Wp_A_aem_V0ydzABY9Gs-LclxyO43aA","https://instagram.com/","nfakny","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/nfakny/1dsz8rm/?ss=1781302671000&sd=1"
"06/13/2026","오전 07:14","00:01","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac28UK5ZSXLt6_jF1jeoVBG4YidF8Zt2NKj_8nYK2ctxRoVtwPOJceSacUVqg_aem_n6vRtaeLiMeck095YwYGMQ","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac28UK5ZSXLt6_jF1jeoVBG4YidF8Zt2NKj_8nYK2ctxRoVtwPOJceSacUVqg_aem_n6vRtaeLiMeck095YwYGMQ","https://instagram.com/","gnazua","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/gnazua/ogj976/?ss=1781302482000&sd=1"
